s1.age,s1.zipcode,s1.gender,base,smokers,drinkers
26,85003,f,152,9,62
27,85003,f,145,13,64
28,85003,f,150,7,57
29,85003,f,137,6,54
30,85003,f,113,10,47
31,85003,f,96,7,45
32,85003,f,107,7,34
33,85003,f,111,9,49
34,85003,f,105,10,49
35,85003,f,85,9,38
36,85003,f,97,8,34
37,85003,f,90,7,34
38,85003,f,133,9,43
39,85003,f,117,9,43
40,85003,f,106,8,42
41,85003,f,98,4,45
42,85003,f,110,6,41
43,85003,f,97,7,35
44,85003,f,105,11,50
45,85003,f,88,7,45
46,85003,f,100,6,37
47,85003,f,97,6,36
48,85003,f,108,11,45
49,85003,f,84,7,37
50,85003,f,89,8,41
51,85003,f,93,7,43
52,85003,f,78,5,29
53,85003,f,86,5,41
54,85003,f,71,4,31
55,85003,f,65,4,28
56,85003,f,54,4,19
57,85003,f,45,2,16
58,85003,f,67,6,27
59,85003,f,42,2,16
60,85003,f,36,2,20
61,85003,f,33,1,7
62,85003,f,26,1,5
63,85003,f,20,0,8
64,85003,f,16,2,7
65,85003,f,18,0,5
18,85003,m,47,6,19
19,85003,m,121,11,45
20,85003,m,163,21,58
21,85003,m,208,14,75
22,85003,m,261,19,91
23,85003,m,319,25,123
24,85003,m,329,21,127
25,85003,m,364,28,139
26,85003,m,350,25,146
27,85003,m,364,25,132
28,85003,m,343,22,121
29,85003,m,313,29,102
30,85003,m,277,21,115
31,85003,m,267,21,100
32,85003,m,248,19,96
33,85003,m,245,15,91
34,85003,m,209,17,73
35,85003,m,200,14,72
36,85003,m,207,18,80
37,85003,m,220,15,90
38,85003,m,212,11,89
39,85003,m,216,19,70
40,85003,m,168,9,62
41,85003,m,168,9,56
42,85003,m,147,14,60
43,85003,m,148,15,58
44,85003,m,155,11,60
45,85003,m,143,11,52
46,85003,m,133,11,45
47,85003,m,134,5,40
48,85003,m,149,8,54
49,85003,m,117,2,35
50,85003,m,106,7,37
51,85003,m,97,6,27
52,85003,m,80,5,28
53,85003,m,85,6,33
54,85003,m,89,8,37
55,85003,m,66,5,16
56,85003,m,57,0,21
57,85003,m,53,5,23
58,85003,m,62,4,21
59,85003,m,52,1,22
60,85003,m,40,3,15
61,85003,m,28,0,4
62,85003,m,24,2,10
63,85003,m,24,1,10
64,85003,m,14,1,6
65,85003,m,13,0,4
18,20024,f,19,2,11
19,20024,f,45,2,11
20,20024,f,52,1,10
21,20024,f,79,4,29
22,20024,f,85,4,32
23,20024,f,106,11,43
24,20024,f,133,8,78
25,20024,f,126,8,58
26,20024,f,156,8,62
